angle in ° ;minimum in V;;;maximum in V;;
0; 1.55 ; 1.48 ; 1.48 ; 1.83 ; 1.78 ; 1.78 
5; 1.26 ; 1.26 ; 1.27 ; 1.53 ; 1.58 ; 1.59 
10; 1.04 ; 1.01 ; 0.98 ; 1.56 ; 1.55 ; 1.55 
15; 0.67 ; 0.68 ; 0.68 ; 1.56 ; 1.56 ; 1.53 
20; 0.47 ; 0.48 ; 0.49 ; 1.48 ; 1.49 ; 1.45 
25; 0.30 ; 0.31 ; 0.32 ; 1.46 ; 1.47 ; 1.41 
30; 0.21 ; 0.19 ; 0.18 ; 1.30 ; 1.34 ; 1.39 
35; 0.11 ; 0.10 ; 0.10 ; 1.40 ; 1.41 ; 1.42 
40; 0.07 ; 0.07 ; 0.09 ; 1.47 ; 1.47 ; 1.44 
45; 0.05 ; 0.05 ; 0.07 ; 1.53 ; 1.52 ; 1.52 
50; 0.05 ; 0.06 ; 0.04 ; 1.71 ; 1.69 ; 1.71 
55; 0.07 ; 0.07 ; 0.08 ; 1.81 ; 1.81 ; 1.81 
60; 0.15 ; 0.13 ; 0.15 ; 1.94 ; 1.91 ; 1.92 
65; 0.21 ; 0.21 ; 0.21 ; 2.07 ; 2.03 ; 2.05 
70; 0.40 ; 0.40 ; 0.43 ; 2.33 ; 2.33 ; 2.39 
75; 0.69 ; 0.62 ; 0.62 ; 2.20 ; 2.26 ; 2.26 
80; 1.01 ; 0.97 ; 0.96 ; 2.10 ; 2.20 ; 2.21 
85; 1.34 ; 1.26 ; 1.26 ; 1.97 ; 2.15 ; 2.15 
90; 1.78 ; 1.71 ; 1.75 ; 2.06 ; 2.07 ; 2.15 
95; 1.91 ; 1.91 ; 1.92 ; 2.44 ; 2.53 ; 2.53 
100; 1.62 ; 1.46 ; 1.45 ; 3.14 ; 3.12 ; 3.14 
105; 1.19 ; 1.15 ; 1.16 ; 3.66 ; 3.68 ; 3.65 
110; 1.01 ; 0.89 ; 0.88 ; 4.39 ; 4.43 ; 4.41 
115; 0.60 ; 0.60 ; 0.60 ; 4.86 ; 4.85 ; 4.85 
120; 0.41 ; 0.40 ; 0.40 ; 5.45 ; 5.44 ; 5.45 
125; 0.23 ; 0.21 ; 0.22 ; 5.85 ; 5.82 ; 5.87 
130; 0.15 ; 0.15 ; 0.15 ; 5.98 ; 6.01 ; 6.03 
135; 0.15 ; 0.14 ; 0.15 ; 5.90 ; 5.90 ; 5.99 
140; 0.22 ; 0.23 ; 0.22 ; 5.94 ; 5.94 ; 5.94 
145; 0.63 ; 0.35 ; 0.32 ; 5.40 ; 5.31 ; 5.31 
150; 0.55 ; 0.51 ; 0.52 ; 5.11 ; 5.09 ; 5.10 
155; 0.79 ; 0.77 ; 0.79 ; 4.30 ; 4.48 ; 4.46 
160; 0.97 ; 0.96 ; 0.96 ; 3.98 ; 3.95 ; 3.96 
165; 1.13 ; 1.14 ; 1.13 ; 3.15 ; 3.19 ; 3.14 
170; 1.33 ; 1.33 ; 1.34 ; 2.78 ; 2.78 ; 2.78 
175; 1.48 ; 1.47 ; 1.47 ; 2.27 ; 2.26 ; 2.25 
180; 1.51 ; 1.50 ; 1.50 ; 1.69 ; 1.69 ; 1.68 
