p in mbar	number					Mittelwert	T=20.6 C
50	3	2	2	2	2	2.2	
100	5	4	4	4	4	4.2	
150	7	6	6	6	6	6.2	
200	9	8	8	8	8	8.2	
250	11	10	10	10	10	10.2	
300	13	12	12	12	12	12.2	
350	15	14	14	15	14	14.4	
400	17	16	17	17	17	16.8	
450	19	19	19	19	19	19	
500	22	21	21	21	21	21.2	
550	24	23	23	23	23	23.2	
600	26	25	25	25	25	25.2	
650	28	27	27	27	27	27.2	
700	30	29	29	29	29	29.2	
750	32	31	31	31	31	31.2	
800	35	33	33	34	34	33.8	
850	37	36	37	36	36	36.4	
900	39	38	39	38	38	38.4	
950	41	40	41	40	40	40.4	
1000	43	42	43	42	42	42.4	
